model,task,method,shot,pass@1,pass@1_40,pass@1_185,pass@1_294,pass@1_480,pass@1_638
gpt-20b,java,naive,3-shot,pass@1,6.52,14.35,8.70,13.91,21.30
gpt-20b,java,retrieval,3-shot,pass@1,19.57,22.17,23.48,24.35,27.83
gpt-20b,java,zero,0-shot,pass@1,28.70,30.87,26.96,22.61,25.22
qwen2.5-1.5b,java,naive,3-shot,pass@1,32.61,29.57,31.30,33.04,33.04
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,32.17,30.00,31.30,31.30,31.30
qwen2.5-1.5b,java,zero,0-shot,pass@1,33.48,33.91,24.78,24.35,24.78
qwen2.5-14b,java,naive,3-shot,pass@1,29.13,18.70,14.35,27.39,14.35
qwen2.5-14b,java,retrieval,3-shot,pass@1,36.96,36.96,36.52,33.91,24.78
qwen2.5-14b,java,zero,0-shot,pass@1,35.22,16.09,18.70,2.61,0.43
qwen2.5-32b,java,naive,3-shot,pass@1,36.96,37.39,13.04,11.74,3.91
qwen2.5-32b,java,retrieval,3-shot,pass@1,37.83,40.43,17.39,13.04,5.22
qwen2.5-32b,java,zero,0-shot,pass@1,38.26,40.00,4.35,6.52,0.00
qwen2.5-3b,java,naive,3-shot,pass@1,26.52,30.00,32.17,25.22,24.35
qwen2.5-3b,java,retrieval,3-shot,pass@1,34.78,37.83,29.13,22.61,23.91
qwen2.5-3b,java,zero,0-shot,pass@1,34.35,34.35,25.22,12.61,6.96
qwen2.5-7b,java,naive,3-shot,pass@1,37.83,38.70,34.35,29.13,30.00
qwen2.5-7b,java,retrieval,3-shot,pass@1,35.65,40.43,30.87,27.83,27.39
qwen2.5-7b,java,zero,0-shot,pass@1,37.83,37.83,18.26,23.04,22.61
